,Accession,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,Collection_Date,s-gene_location,gene_length,protein_id,protein_length
30,MT444543,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,USA,Homo sapiens,,2020-04-02,[21523:25345](+),3822,QJQ82972.1,1273
31,MT444544,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29788,USA,Homo sapiens,,2020-04-02,[<21618:25336](+),3718,QJQ82984.1,1238
32,MT444545,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,USA,Homo sapiens,,2020-03-31,[21558:25380](+),3822,QJQ82996.1,1273
33,MT444546,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,USA,Homo sapiens,,2020-04-02,[21550:25372](+),3822,QJQ83008.1,1273
34,MT444547,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,USA,Homo sapiens,,2020-04-03,[21522:25344](+),3822,QJQ83020.1,1273
35,MT444548,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29881,USA,Homo sapiens,,2020-04-02,[21540:25362](+),3822,QJQ83032.1,1273
36,MT444549,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,USA,Homo sapiens,,2020-04-02,[21523:25345](+),3822,QJQ83044.1,1273
37,MT444550,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29872,USA,Homo sapiens,,2020-04-02,[21531:25353](+),3822,QJQ83056.1,1273
38,MT444551,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,USA,Homo sapiens,,2020-04-03,[21523:25345](+),3822,QJQ83068.1,1273
39,MT444552,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29810,USA,Homo sapiens,,2020-04-03,[21523:25345](+),3822,QJQ83080.1,1273
40,MT444553,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,USA,Homo sapiens,,2020-04-03,[21523:25345](+),3822,QJQ83092.1,1273
41,MT444554,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,USA,Homo sapiens,,2020-04-03,[21523:25345](+),3822,QJQ83104.1,1273
42,MT444555,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,USA,Homo sapiens,,2020-04-03,[21522:25344](+),3822,QJQ83116.1,1273
43,MT444556,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29787,USA,Homo sapiens,,2020-03-14,[21513:25335](+),3822,QJQ83128.1,1273
44,MT444557,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29786,USA,Homo sapiens,,2020-03-15,[21512:25334](+),3822,QJQ83140.1,1273
45,MT444558,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,28864,USA,Homo sapiens,,2020-03-15,[<20713:24432](+),3719,QJQ83152.1,1238
46,MT444559,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29625,USA,Homo sapiens,,2020-03-14,[21522:25344](+),3822,QJQ83164.1,1273
47,MT444560,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29796,USA,Homo sapiens,,2020-03-12,[21522:25344](+),3822,QJQ83176.1,1273
48,MT444561,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29828,USA,Homo sapiens,,2020-03-12,[21538:25360](+),3822,QJQ83188.1,1273
49,MT444562,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29788,USA,Homo sapiens,,2020-03-12,[21514:25336](+),3822,QJQ83200.1,1273
50,MT444563,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,USA,Homo sapiens,,2020-03-12,[21521:25343](+),3822,QJQ83212.1,1273
51,MT444564,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,USA,Homo sapiens,,2020-03-27,[21551:25373](+),3822,QJQ83224.1,1273
52,MT444565,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,USA,Homo sapiens,,2020-03-28,[21516:25338](+),3822,QJQ83236.1,1273
53,MT444566,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29796,USA,Homo sapiens,,2020-03-28,[21522:25344](+),3822,QJQ83248.1,1273
54,MT444567,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29893,USA,Homo sapiens,,2020-03-29,[21552:25374](+),3822,QJQ83260.1,1273
55,MT444568,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29794,USA,Homo sapiens,,2020-03-28,[21520:25342](+),3822,QJQ83272.1,1273
56,MT444569,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,USA,Homo sapiens,,2020-04-03,[21523:25345](+),3822,QJQ83284.1,1273
57,MT444570,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,USA,Homo sapiens,,2020-04-03,[21550:25372](+),3822,QJQ83296.1,1273
58,MT444571,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29819,USA,Homo sapiens,,2020-04-03,[21520:25342](+),3822,QJQ83308.1,1273
59,MT444572,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29886,USA,Homo sapiens,,2020-04-03,[21545:25367](+),3822,QJQ83320.1,1273
60,MT444573,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29896,USA,Homo sapiens,,2020-04-03,[21555:25377](+),3822,QJQ83332.1,1273
61,MT444574,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,USA,Homo sapiens,,2020-04-03,[21523:25345](+),3822,QJQ83344.1,1273
62,MT444575,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29831,USA,Homo sapiens,,2020-04-03,[21551:25373](+),3822,QJQ83356.1,1273
63,MT444576,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29855,USA,Homo sapiens,,2020-04-03,[21514:25336](+),3822,QJQ83368.1,1273
64,MT444577,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29893,USA,Homo sapiens,,2020-04-02,[21552:25374](+),3822,QJQ83380.1,1273
65,MT444578,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29898,USA,Homo sapiens,,2020-04-03,[21557:25379](+),3822,QJQ83392.1,1273
66,MT444579,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29728,USA,Homo sapiens,,2020-04-04,[21512:25334](+),3822,QJQ83404.1,1273
67,MT444580,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29796,USA,Homo sapiens,,2020-04-04,[21522:25344](+),3822,QJQ83416.1,1273
68,MT444581,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29895,USA,Homo sapiens,,2020-04-02,[21554:25376](+),3822,QJQ83428.1,1273
69,MT444582,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,USA,Homo sapiens,,2020-04-02,[21522:25344](+),3822,QJQ83440.1,1273
70,MT444583,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,USA,Homo sapiens,,2020-03-31,[21523:25345](+),3822,QJQ83452.1,1273
71,MT444584,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29881,USA,Homo sapiens,,2020-04-02,[21540:25362](+),3822,QJQ83464.1,1273
72,MT444585,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,USA,Homo sapiens,,2020-04-02,[21520:25342](+),3822,QJQ83476.1,1273
73,MT444586,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,USA,Homo sapiens,,2020-04-02,[21550:25372](+),3822,QJQ83488.1,1273
74,MT444587,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29796,USA,Homo sapiens,,2020-04-02,[21522:25344](+),3822,QJQ83500.1,1273
75,MT444588,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29625,USA,Homo sapiens,,2020-04-05,[21523:25345](+),3822,QJQ83512.1,1273
76,MT444589,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29836,USA,Homo sapiens,,2020-04-05,[21545:25367](+),3822,QJQ83524.1,1273
77,MT444590,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29842,USA,Homo sapiens,,2020-04-05,[21560:25382](+),3822,QJQ83536.1,1273
78,MT444591,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29799,USA,Homo sapiens,,2020-04-06,[21517:25339](+),3822,QJQ83548.1,1273
79,MT444592,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,USA,Homo sapiens,,2020-04-06,[21551:25373](+),3822,QJQ83560.1,1273
80,MT444593,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29810,USA,Homo sapiens,,2020-04-06,[21522:25344](+),3822,QJQ83572.1,1273
81,MT444594,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29796,USA,Homo sapiens,,2020-04-05,[21522:25344](+),3822,QJQ83584.1,1273
82,MT444595,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29794,USA,Homo sapiens,,2020-04-06,[21520:25342](+),3822,QJQ83596.1,1273
83,MT444596,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29796,USA,Homo sapiens,,2020-04-05,[21522:25344](+),3822,QJQ83608.1,1273
84,MT444597,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,USA,Homo sapiens,,2020-04-06,[21551:25373](+),3822,QJQ83620.1,1273
85,MT444598,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29898,USA,Homo sapiens,,2020-04-05,[21557:25379](+),3822,QJQ83632.1,1273
86,MT444599,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29867,USA,Homo sapiens,,2020-04-07,[21526:25348](+),3822,QJQ83644.1,1273
87,MT444600,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29897,USA,Homo sapiens,,2020-04-07,[21556:25378](+),3822,QJQ83656.1,1273
88,MT444601,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29796,USA,Homo sapiens,,2020-04-07,[21522:25344](+),3822,QJQ83668.1,1273
89,MT444602,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29801,USA,Homo sapiens,,2020-04-08,[21523:25345](+),3822,QJQ83680.1,1273
90,MT444603,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29810,USA,Homo sapiens,,2020-04-07,[21522:25344](+),3822,QJQ83692.1,1273
91,MT444604,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29796,USA,Homo sapiens,,2020-04-06,[21522:25344](+),3822,QJQ83704.1,1273
92,MT444605,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,USA,Homo sapiens,,2020-04-07,[21558:25380](+),3822,QJQ83716.1,1273
93,MT444606,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,USA,Homo sapiens,,2020-04-08,[21523:25345](+),3822,QJQ83728.1,1273
94,MT444607,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,USA,Homo sapiens,,2020-04-08,[21558:25380](+),3822,QJQ83740.1,1273
95,MT444608,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,USA,Homo sapiens,,2020-04-08,[21522:25344](+),3822,QJQ83752.1,1273
96,MT444609,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,USA,Homo sapiens,,2020-04-08,[21526:25348](+),3822,QJQ83764.1,1273
97,MT444610,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,USA,Homo sapiens,,2020-04-08,[21522:25344](+),3822,QJQ83776.1,1273
98,MT444611,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29855,USA,Homo sapiens,,2020-04-08,[21514:25336](+),3822,QJQ83788.1,1273
99,MT444612,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29835,USA,Homo sapiens,,2020-04-09,[21552:25374](+),3822,QJQ83800.1,1273
100,MT444613,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29814,USA,Homo sapiens,,2020-04-10,[21523:25345](+),3822,QJQ83812.1,1273
101,MT444614,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,USA,Homo sapiens,,2020-04-10,[21523:25345](+),3822,QJQ83824.1,1273
102,MT444615,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA,Homo sapiens,,2020-04-10,[21524:25346](+),3822,QJQ83836.1,1273
103,MT444616,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,USA,Homo sapiens,,2020-04-15,[21523:25345](+),3822,QJQ83848.1,1273
104,MT444617,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,USA,Homo sapiens,,2020-04-15,[21522:25344](+),3822,QJQ83860.1,1273
105,MT444618,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29830,USA,Homo sapiens,,2020-04-15,[21552:25374](+),3822,QJQ83872.1,1273
106,MT444619,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29852,USA,Homo sapiens,,2020-04-14,[21562:25384](+),3822,QJQ83884.1,1273
107,MT444620,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29833,USA,Homo sapiens,,2020-04-15,[21545:25367](+),3822,QJQ83896.1,1273
108,MT444621,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29838,USA,Homo sapiens,,2020-04-15,[21558:25380](+),3822,QJQ83908.1,1273
109,MT444622,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,USA,Homo sapiens,,2020-04-15,[21522:25344](+),3822,QJQ83920.1,1273
110,MT444623,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29846,USA,Homo sapiens,,2020-04-14,[21562:25384](+),3822,QJQ83932.1,1273
111,MT444624,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29848,USA,Homo sapiens,,2020-04-15,[21560:25382](+),3822,QJQ83944.1,1273
112,MT444625,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29846,USA,Homo sapiens,,2020-04-15,[21558:25380](+),3822,QJQ83956.1,1273
113,MT444626,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29840,USA,Homo sapiens,,2020-04-15,[21552:25374](+),3822,QJQ83968.1,1273
114,MT444627,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29796,USA,Homo sapiens,,2020-04-14,[21522:25344](+),3822,QJQ83980.1,1273
115,MT444628,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29837,USA,Homo sapiens,,2020-04-15,[21560:25382](+),3822,QJQ83992.1,1273
116,MT444629,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29811,USA,Homo sapiens,,2020-04-14,[21523:25345](+),3822,QJQ84004.1,1273
117,MT444630,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,USA,Homo sapiens,,2020-04-15,[21522:25344](+),3822,QJQ84016.1,1273
118,MT444631,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29798,USA,Homo sapiens,,2020-04-14,[21523:25345](+),3822,QJQ84028.1,1273
119,MT444632,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29838,USA,Homo sapiens,,2020-04-15,[21550:25372](+),3822,QJQ84040.1,1273
120,MT444633,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29848,USA,Homo sapiens,,2020-04-14,[21560:25382](+),3822,QJQ84052.1,1273
121,MT444634,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,USA,Homo sapiens,,2020-04-15,[21523:25345](+),3822,QJQ84064.1,1273
122,MT444635,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29847,USA,Homo sapiens,,2020-04-15,[21559:25381](+),3822,QJQ84076.1,1273
123,MT446312,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29879,"China: Guangdong, Guangzhou",Homo sapiens,urine,2020-02-05,[21560:25382](+),3822,QJQ84088.1,1273
124,MT446339,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29777,"USA: MARINGOUIN, LA",Homo sapiens,oronasopharynx,2020-04-06,[21503:25325](+),3822,QJQ84100.1,1273
125,MT446340,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,"USA: KENNER, LA",Homo sapiens,oronasopharynx,2020-04-08,[21502:25324](+),3822,QJQ84112.1,1273
126,MT446341,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,"USA: KILLONA, LA",Homo sapiens,oronasopharynx,2020-04-08,[21502:25324](+),3822,QJQ84124.1,1273
127,MT446342,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29777,"USA: SAINT ROSE, LA",Homo sapiens,oronasopharynx,2020-04-08,[21503:25325](+),3822,QJQ84136.1,1273
128,MT446343,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29796,"USA: New Orleans, LA",Homo sapiens,oronasopharynx,2020-04-04,[21522:25344](+),3822,QJQ84148.1,1273
129,MT446344,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29777,"USA: LOCKPORT, LA",Homo sapiens,oronasopharynx,2020-04-04,[21503:25325](+),3822,QJQ84160.1,1273
130,MT446345,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29777,"USA: NEW ORLEANS, LA",Homo sapiens,oronasopharynx,2020-04-04,[21503:25325](+),3822,QJQ84172.1,1273
131,MT446346,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29777,"USA: LULING, LA",Homo sapiens,oronasopharynx,2020-04-07,[21503:25325](+),3822,QJQ84184.1,1273
132,MT446347,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29777,"USA: RACELAND, LA",Homo sapiens,oronasopharynx,2020-04-06,[21503:25325](+),3822,QJQ84196.1,1273
133,MT446348,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29777,"USA: New Orleans, LA",Homo sapiens,oronasopharynx,2020-04-06,[21503:25325](+),3822,QJQ84208.1,1273
134,MT446349,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,"USA: KENNER, LA",Homo sapiens,oronasopharynx,2020-04-04,[21502:25324](+),3822,QJQ84220.1,1273
135,MT446350,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29807,"USA: New Orleans, LA",Homo sapiens,oronasopharynx,2020-04-06,[21502:25324](+),3822,QJQ84232.1,1273
136,MT446351,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29486,"USA: GRAY, LA",Homo sapiens,oronasopharynx,2020-04-06,[21212:>24989](+),3777,QJQ84244.1,1259
137,MT446352,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29777,"USA: GHEENS, LA",Homo sapiens,,2020-04-06,[21503:25325](+),3822,QJQ84256.1,1273
138,MT446353,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29777,"USA: THIBODAUX,LA",Homo sapiens,oronasopharynx,2020-04-06,[21503:25325](+),3822,QJQ84268.1,1273
139,MT446354,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,"USA: MARINGOUIN, LA",Homo sapiens,oronasopharynx,2020-04-08,[21502:25324](+),3822,QJQ84280.1,1273
140,MT446355,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29807,"USA: Slidell, LA",Homo sapiens,oronasopharynx,2020-04-08,[21502:25324](+),3822,QJQ84292.1,1273
141,MT446356,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29777,"USA: Lacombe, LA",Homo sapiens,oronasopharynx,2020-04-03,[21503:25325](+),3822,QJQ84304.1,1273
142,MT446357,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29777,"USA: HOUMA, LA",Homo sapiens,oronasopharynx,2020-04-06,[21503:25325](+),3822,QJQ84316.1,1273
143,MT446358,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,"USA: RACELAND, LA",Homo sapiens,oronasopharynx,2020-04-06,[21502:25324](+),3822,QJQ84328.1,1273
144,MT446359,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,"USA: SLIDELL, LA",Homo sapiens,oronasopharynx,2020-04-05,[21502:25324](+),3822,QJQ84340.1,1273
145,MT446360,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29486,USA: SLIDELL LA,Homo sapiens,oronasopharynx,2020-04-05,[21212:25034](+),3822,QJQ84352.1,1273
146,MT446361,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29487,"USA: DELACROIX, LA",Homo sapiens,oronasopharynx,2020-04-06,[21213:25035](+),3822,QJQ84364.1,1273
147,MT447154,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29829,Thailand,Homo sapiens,,2020-02-01,[21525:25347](+),3822,QJQ84568.1,1273
148,MT447155,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29805,Thailand,Homo sapiens,,2020-01-08,[21525:25347](+),3822,QJQ84580.1,1273
149,MT447156,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29810,Thailand,Homo sapiens,,2020-01-23,[21525:25347](+),3822,QJQ84592.1,1273
150,MT447157,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29824,Thailand,Homo sapiens,,2020-01-25,[21525:25347](+),3822,QJQ84604.1,1273
